trial,target_device,model,model_group,feature_method,outer_fold,selected_features,inner_cv_balanced_accuracy,auth_tdr,auth_fdr,rogue_rejection_rate,adr,n_auth_train,n_auth_test,n_rogue_external_test
trial_3,device8,extra_trees,added,ANOVA fitted inside training folds,1,50,,0.0,0.0,1.0,0.5,60,31,55
trial_3,device8,extra_trees,added,ANOVA fitted inside training folds,2,50,,0.0,0.0,1.0,0.5,61,30,55
trial_3,device8,extra_trees,added,ANOVA fitted inside training folds,3,50,,0.0,0.0,1.0,0.5,61,30,55
trial_3,device12,extra_trees,added,ANOVA fitted inside training folds,1,50,,0.0,0.0,1.0,0.5,60,31,55
trial_3,device12,extra_trees,added,ANOVA fitted inside training folds,2,50,,0.0,0.0,1.0,0.5,61,30,55
trial_3,device12,extra_trees,added,ANOVA fitted inside training folds,3,50,,0.0,0.0,1.0,0.5,61,30,55
trial_3,device11,extra_trees,added,ANOVA fitted inside training folds,1,50,,0.0,0.0,1.0,0.5,60,31,55
trial_3,device11,extra_trees,added,ANOVA fitted inside training folds,2,50,,0.0,0.0,1.0,0.5,61,30,55
trial_3,device11,extra_trees,added,ANOVA fitted inside training folds,3,50,,0.0,0.0,1.0,0.5,61,30,55
trial_3,device6,extra_trees,added,ANOVA fitted inside training folds,1,50,,0.16666666666666666,0.08,0.9818181818181818,0.5742424242424242,60,31,55
trial_3,device6,extra_trees,added,ANOVA fitted inside training folds,2,50,,0.2,0.0,0.9818181818181818,0.5909090909090909,61,30,55
trial_3,device6,extra_trees,added,ANOVA fitted inside training folds,3,50,,0.5,0.0,0.9272727272727272,0.7136363636363636,61,30,55
trial_3,device7,extra_trees,added,ANOVA fitted inside training folds,1,50,,0.0,0.0,1.0,0.5,60,31,55
trial_3,device7,extra_trees,added,ANOVA fitted inside training folds,2,50,,0.0,0.15384615384615385,0.9636363636363636,0.4818181818181818,61,30,55
trial_3,device7,extra_trees,added,ANOVA fitted inside training folds,3,50,,0.0,0.0,0.9818181818181818,0.4909090909090909,61,30,55
trial_3,device1,lda,added,ANOVA fitted inside training folds,1,50,,0.0,0.07692307692307693,0.9454545454545454,0.4727272727272727,60,31,55
trial_3,device1,lda,added,ANOVA fitted inside training folds,2,50,,0.5,0.19230769230769232,0.7818181818181819,0.6409090909090909,61,30,55
trial_3,device1,lda,added,ANOVA fitted inside training folds,3,50,,0.0,0.15384615384615385,0.8909090909090909,0.44545454545454544,61,30,55
trial_3,device10,lda,added,ANOVA fitted inside training folds,1,50,,0.0,0.03571428571428571,0.9818181818181818,0.4909090909090909,60,31,55
trial_3,device10,lda,added,ANOVA fitted inside training folds,2,50,,0.0,0.0,0.9090909090909091,0.45454545454545453,61,30,55
trial_3,device10,lda,added,ANOVA fitted inside training folds,3,50,,0.0,0.1111111111111111,0.9818181818181818,0.4909090909090909,61,30,55
trial_3,device9,lda,added,ANOVA fitted inside training folds,1,50,,0.0,0.0,0.8,0.4,60,31,55
trial_3,device9,lda,added,ANOVA fitted inside training folds,2,50,,0.25,0.19230769230769232,0.8909090909090909,0.5704545454545454,61,30,55
trial_3,device9,lda,added,ANOVA fitted inside training folds,3,50,,0.75,0.19230769230769232,0.8363636363636363,0.7931818181818182,61,30,55
trial_3,device8,lda,added,ANOVA fitted inside training folds,1,50,,0.6,0.11538461538461539,0.8727272727272727,0.7363636363636363,60,31,55
trial_3,device8,lda,added,ANOVA fitted inside training folds,2,50,,0.2,0.24,0.7818181818181819,0.49090909090909096,61,30,55
trial_3,device8,lda,added,ANOVA fitted inside training folds,3,50,,0.0,0.12,0.9272727272727272,0.4636363636363636,61,30,55
trial_3,device12,lda,added,ANOVA fitted inside training folds,1,50,,0.0,0.06896551724137931,1.0,0.5,60,31,55
trial_3,device12,lda,added,ANOVA fitted inside training folds,2,50,,0.0,0.03571428571428571,0.9636363636363636,0.4818181818181818,61,30,55
trial_3,device12,lda,added,ANOVA fitted inside training folds,3,50,,0.0,0.03571428571428571,0.9818181818181818,0.4909090909090909,61,30,55
trial_3,device11,lda,added,ANOVA fitted inside training folds,1,50,,0.0,0.0,0.9818181818181818,0.4909090909090909,60,31,55
trial_3,device11,lda,added,ANOVA fitted inside training folds,2,50,,0.0,0.03571428571428571,0.9818181818181818,0.4909090909090909,61,30,55
trial_3,device11,lda,added,ANOVA fitted inside training folds,3,50,,0.0,0.0,0.9636363636363636,0.4818181818181818,61,30,55
trial_3,device6,lda,added,ANOVA fitted inside training folds,1,50,,0.5,0.24,0.8545454545454545,0.6772727272727272,60,31,55
trial_3,device6,lda,added,ANOVA fitted inside training folds,2,50,,0.6,0.08,0.8909090909090909,0.7454545454545454,61,30,55
